title,vote_average,popularity,title_clean
This Little Love Of Mine,6.063,0.7319,this little love of mine
Three Thieves,8.0,0.102,three thieves
A Land Imagined,5.983,0.5026,a land imagined
Between,7.0,0.3416,between
Chelsea,0.0,0.0978,chelsea
Colony,7.0,0.1402,colony
Cuckoo,4.5,2.5715,cuckoo
Girl from Nowhere,4.25,0.5498,girl from nowhere
Good Morning Call,7.0,0.3391,good morning call
Har Kisse Ke Hisse: Kaamyaab,6.7,0.2962,har kisse ke hisse: kaamyaab
I AM A KILLER,0.0,0.1189,i am a killer
Larva,0.0,1.599,larva
Marcella,0.0,0.1517,marcella
My Little Pony: Friendship Is Magic,3.8,0.053,my little pony: friendship is magic
Orange Is the New Black,0.0,0.0239,orange is the new black
Puffin Rock,6.6,0.3697,puffin rock
Rehmataan,0.0,0.0214,rehmataan
Return of the Prodigal Son,6.365,0.3303,return of the prodigal son
Richie Rich,4.1,0.3201,richie rich
Rise: Ini Kalilah,7.5,0.1866,rise: ini kalilah
Scream,7.4,17.1558,scream
Si Doel the Movie 2,6.6,0.0744,si doel the movie 2
Some Assembly Required,0.0,0.0256,some assembly required
Tales by Light,0.0,0.2643,tales by light
The A List,5.8,1.3543,the a list
The Worst Witch,6.0,0.9072,the worst witch
Truckbhar Swapna,10.0,0.0992,truckbhar swapna
Ujala,4.4,0.1117,ujala
Undercover,5.4,3.4835,undercover
We the People,2.8,0.4462,we the people
Grey's Anatomy,10.0,0.5048,grey's anatomy
Big Timber,0.0,0.08,big timber
Fear Street Part 1: 1994,6.694,2.5955,fear street part 1: 1994
Haseen Dillruba,6.737,0.8231,haseen dillruba
Holiday on Mars,0.0,0.0214,holiday on mars
Mortel,0.0,0.0214,mortel
RattleSnake - The Ahanna Story,5.0,0.2083,rattlesnake - the ahanna story
Snowpiercer,6.909,12.625,snowpiercer
The 8th Night,6.099,1.7238,the 8th night
Winchester,5.885,1.6328,winchester
6 Bullets,6.251,1.2587,6 bullets
Air Force One,6.469,4.4314,air force one
Audible,6.823,1.9706,audible
Austin Powers in Goldmember,6.011,4.4671,austin powers in goldmember
Austin Powers: International Man of Mystery,6.59,4.8965,austin powers: international man of mystery
